dep;vaccin;jour;n_tot_dose1;n_tot_dose2
71;0;2021-05-13;181328;84251
72;0;2021-05-13;161838;58214
73;0;2021-05-13;126341;55136
74;0;2021-05-13;197641;88282
75;0;2021-05-13;691288;279279
76;0;2021-05-13;381506;172801
77;0;2021-05-13;300809;116223
78;0;2021-05-13;354853;145226
79;0;2021-05-13;114101;58160
80;0;2021-05-13;169364;69126
81;0;2021-05-13;129547;66210
82;0;2021-05-13;76373;36519
83;0;2021-05-13;329477;168282
84;0;2021-05-13;157784;70520
85;0;2021-05-13;228461;97514
86;0;2021-05-13;150728;60310
87;0;2021-05-13;130326;53128
88;0;2021-05-13;126129;56368
89;0;2021-05-13;100670;49312
90;0;2021-05-13;43194;21262
91;0;2021-05-13;296101;126233
92;0;2021-05-13;407732;160301
93;0;2021-05-13;354773;142166
94;0;2021-05-13;342816;147524
95;0;2021-05-13;305714;125269
971;0;2021-05-13;24403;10566
972;0;2021-05-13;42353;22068
973;0;2021-05-13;29554;13132
974;0;2021-05-13;110017;50288
975;0;2021-05-13;1;0
976;0;2021-05-13;17792;9197
977;0;2021-05-13;6657;1037
978;0;2021-05-13;3554;2105
