dep;vaccin;jour;n_tot_dose1;n_tot_dose2
750;0;2021-04-05;1;0
76;0;2021-04-05;194890;59219
77;0;2021-04-05;139538;42543
78;0;2021-04-05;168381;47160
79;0;2021-04-05;58104;17937
80;0;2021-04-05;85504;28147
81;0;2021-04-05;64615;19876
82;0;2021-04-05;35992;15261
83;0;2021-04-05;164496;53060
84;0;2021-04-05;73787;26378
85;0;2021-04-05;97511;36396
86;0;2021-04-05;67904;26289
87;0;2021-04-05;61386;20613
88;0;2021-04-05;61548;21305
89;0;2021-04-05;51437;16964
90;0;2021-04-05;23952;8720
91;0;2021-04-05;143263;47634
92;0;2021-04-05;188324;56769
93;0;2021-04-05;150994;47493
94;0;2021-04-05;165924;51073
95;0;2021-04-05;139157;43887
970;0;2021-04-05;1;0
971;0;2021-04-05;10154;3850
972;0;2021-04-05;17562;5132
973;0;2021-04-05;10227;4899
974;0;2021-04-05;39353;21448
976;0;2021-04-05;10093;4584
977;0;2021-04-05;668;230
978;0;2021-04-05;1180;642
